Sender,Title,Incipit,Reference,Cited names,Subject,Places
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Ricci Michelangelo, 20 maggio 1646.
","Tipologia: letteraIncipit: ""Come posso non aggradire con particolare ambizione le cortesie offerte...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 295, n. 201
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 1, c. 1r-v<br/>
</td>","Torricelli, Evangelista, 1608-1647,  (citato.)
Ricci, Michelangelo, 1619-1682,  (destinatario.)
",,"*Firenze  (provenienza.)*Roma  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Renieri Vincenzo, 13 aprile 1647.
","Tipologia: letteraIncipit: ""Reputo a mio gran favore che Vostra Signoria molto Illustre desideri impiegarmi...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 359, n. 258
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 2, c. 3r<br/>
</td>","Torricelli, Evangelista, 1608-1647,  (citato.)
Renieri, Vincenzo, 1606-1648,  (destinatario.)
",,"*Firenze  (provenienza.)*Pisa  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Ricci Michelangelo, 24 novembre 1648.
","Tipologia: letteraIncipit: ""L'esser io per spazio d'un mese in circa stato assente dalla città...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 522-523, 401
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 3, c. 4r-v<br/>
</td>","Torricelli, Evangelista, 1608-1647,  (citato.)
Ricci, Michelangelo, 1619-1682,  (destinatario.)
",,"*Firenze  (provenienza.)*Roma  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Manetti Braccio, 18 ottobre 1651.
","Tipologia: letteraIncipit: ""Haverei necessità di parlare a Vostra Signoria ma in questo punto...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 50-51, n. 455
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 4, c. 5r<br/>
</td>","Cecchi, Andrea, sec. XVII,  (citato.)
Arrighetti, Andrea, 1592-1672,  (citato.)
Manetti, Braccio, 1607-1652,  (destinatario.)
",,"*Firenze  (provenienza e destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Viviani Alamanno, 23 febbraio 1652.
","Tipologia: letteraIncipit: ""Qui tutto giorno ci viene gente a cercar di Voi sapendo che siete arrivato...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 5, c. 7r<br/>
</td>","Di Pietro, sec. XVII,  (citato.)
Viviani, Alamanno, m. post 1671,  (destinatario.)
","*Argomenti privati.
","*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Magnani Lorenzo, 2 novembre 1653.
","Tipologia: letteraIncipit: ""Per l'antica amicizia, e servitù che ho professato a Vostra Signoria Eccellentissima...""Minuta. Sul margine superiore sinistro un appunto indica il Magnani come ""Lettor di Legge a Pisa""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 102, n. 502
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 6, c. 9r-v<br/>
</td>","Magnani, Lorenzo, sec. XVII,  (destinatario.)
Chimentelli, Valerio, 1620-1668,  (citato.)
Galilei, Cosimo, 1636-1672,  (citato.)
",,"*Firenze  (provenienza.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Lapi Michelangelo, 3 gennaio 1654 [ab Inc.] [i.e. 1655].
","Tipologia: letteraIncipit: ""O per il mal recapito dato qua a due plichi diretti a Vostra Signoria...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 173, n. 568
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 7, c. 10r<br/>
</td>","Lapi, Michelangelo, sec. XVII,  (destinatario.)
Serni, Pompeo, sec. XVII,  (citato.)
Medici, Giovanni Carlo de', 1611-1663,  (citato.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
",,"*Firenze  (provenienza.)*Roma  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Lapi Michelangelo, 25 gennaio 1655 ab Inc. [i.e. 1656].
","Tipologia: letteraIncipit: ""Rendo infinite grazie a Vostra Signoria Eccellentissima a nome di mio fratello...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 287, n. 666
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 8, c. 11r<br/>
</td>","Lapi, Michelangelo, sec. XVII,  (destinatario.)
Barberini, Antonio, 1607-1671,  (citato.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
Serni, Bartolommeo, sec. XVII,  (citato.)
Serni, Pompeo, sec. XVII,  (citato.)
Teri, Pietro, sec. XVII,  (citato.)
Thévenot, Melchisédech, 1620-1680,  (citato.)
Viviani, Pietro, sec. XVII,  (citato.)
",,"*Firenze  (provenienza.)*Roma  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a [non identificato], 14 febbraio 1655 [ab Inc.] [i.e. 1656].
","Tipologia: letteraIncipit: ""Riconosco da un eccessivo affetto l'offerta che fa Vostra Signoria...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 298, n. 676
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 9, c. 12r<br/>
</td>",,,"*Firenze  (provenienza e destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Galilei Cosimo, 21 marzo 1655.
","Tipologia: letteraIncipit: ""Dalle due scorse de' 13 e 14 stante aviamo preso speranza...""Minuta. A c. 14v appunto di avvenuto pagamentoPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 320-322, n. 691
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 10, c. 13r-14r<br/>
</td>","Galilei, Cosimo, 1636-1672,  (destinatario.)
Apollonius Pergaeus, 262-190 a.C.,  (citato.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
Borelli, Giovanni Alfonso, 1608-1679,  (citato.)
Torricelli, Evangelista, 1608-1647,  (citato.)
Guldin, Paul, 1577-1643,  (citato.)
Manolessi, Carlo, n. 1614,  (citato.)
Marsili, Alessandro, 1601-1670,  (citato.)
Medici, Leopoldo de', 1617-1675,  (citato.)
Rinaldini, Carlo, 1615-1698,  (citato.)
Galilei, Galileo, 1564-1642,  (citato.)
",,"*Firenze  (provenienza.)*Pisa  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Bérigard Claude Guillermet (de), 30 ottobre 1655.
","Tipologia: letteraIncipit: ""Se il viaggio di Vostra Signoria sarà stato quale glie l'ho bramato...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 271-272, n. 650
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 11, c. 15r-v<br/>
</td>","Rinaldini, Carlo, 1615-1698,  (citato.)
Cecchi, Andrea, sec. XVII,  (citato.)
Bérigard, Claude Guillermet de, ca. 1578-1663,  (destinatario.)
",,"*Firenze  (provenienza.)*Padova  (destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Della Bella Stefano, 21 dicembre 1655.
","Tipologia: letteraIncipit: ""Di tre particolari ch'io dovevo domandare a Vostra Signoria intorno a quel frontispizio...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 12, c. 16r<br/>
</td>","Della Bella, Stefano, 1610-1664,  (destinatario.)
",,"*Firenze  (provenienza e destinazione.)
"
"Viviani, Vincenzo, 1622-1703,

","Viviani Vincenzo a Del Bianco Baccio, 13 gennaio 1656.
","Tipologia: letteraIncipit: ""Oggi a hore 23 1/2 ho inteso dal Signor Biagio Marmi che domattina...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 13, c. 18r-19v<br/>
</td>","Del Bianco, Baccio, 1604-1656,  (destinatario.)
Marmi, Biagio, sec. XVII,  (citato.)
Galilei Bocchineri, Sestilia, m. 1669,  (citato.)
Galilei, Galileo, 1564-1642,  (citato.)
Alamanni,  (citato.)
","*Idrologia.
","*Firenze  (provenienza.)*Madrid  (destinazione.)
"
