Sender,Receiver,Date,Provenance,Destination,Subject,Cited names,Reference,Year,Incipit
Viviani Vincenzo,Viviani Alamanno,23/02/1652,Firenze,,Argomenti privati,['Di Pietro '],"Gal. 157, doc. 5, c. 7r",1652,"""Qui tutto giorno ci viene gente a cercar di Voi sapendo che siete arrivato...""Minuta
"
Viviani Vincenzo,Viviani Alamanno e Lapi Michelangelo,11/04/1657,Firenze,,Affari economici,"['Chigi Mario ', 'Manetti', 'Paolucci', 'Rondinelli', ')']","Gal. 157, doc. 22, c. 31r-32r",1657,"""Il regalo fattoci da loro dell'Icona, si richiede qualche corrispondenza...""
"
Southwell Robert,Viviani Vincenzo,15/09/1660,,,Ricette mediche,[],"Gal. 157, doc. 61, c. 87r-v",1660,"""Per salis communi salis ammoniace duplum...""
"
Viviani Vincenzo,Viviani Francesco,16/11/1660,Castiglion Fiorentino,Firenze,Argomenti privati,"['Paggi', ""Medici Giovanni Carlo de'"", 'Molara Bruto della', 'Dati Francesco']","Gal. 157, doc. 69, c. 101r",1660,"""Posso dire di star bene, benchè io potesse star meglio. Datemi qualche nuova...""
"
Viviani Vincenzo,Viviani Francesco,27/12/1661,Montevarchi,,Argomenti privati,[],"Gal. 157, doc. 85, c. 125r",1661,"""Mi scordai di dirvi che la prima mattina di lavoro ...""
"
Viviani Vincenzo,Viviani Francesco,1/01/1663,Montevarchi,Firenze,Argomenti privati,['Molara Bruto della'],"Gal. 157, doc. 86, c. 127r",1663,"""Subito alla ricevuta di questa andate dal collarettaio tedesco...""
"
Viviani Vincenzo,Viviani Francesco,22/01/1661,Chiusi,,,"['Torricelli Evangelista', 'Della Rena Ferdinando', 'Gradi', 'Dati Carlo Roberto']","Gal. 157, doc. 88, c. 131r-132r",1661,"""Per diligenze fatte qua tra miei fogli non trovo quella scrittura...""
"
Viviani Vincenzo,Viviani Francesco,3/02/1661,Città della Pieve,,Argomenti privati,"['Galilei Bocchineri Sestilia ', 'Viviani Anna ', 'Gherardi Luigi ', 'Michelozzi Antonio ', 'Molara Bruto della', 'Galilei Cosimo']","Gal. 157, doc. 90, c. 135r",1661,"""Sono in Città della Pieve sano e salvo per la Dio grazia ...""
"
Viviani Vincenzo,Viviani Francesco,7/02/1662,San Casciano in Val di Pesa,Firenze,Argomenti privati,['Savi '],"Gal. 157, doc. 91, c. 137r",1662,"""Mi è tormento che la Maria ha in mano una fiaschetta di polvere...""
"
Viviani Vincenzo,Viviani Francesco,9/02/1662,Siena,Firenze,Argomenti privati,"['Michelozzi Antonio ', 'Michelini Famiano']","Gal. 157, doc. 92, c. 138r",1662,"""Doppo sei passi habbiamo fatto 30 miglia di viaggio e non si sa se domattina......""
"
