Sender,Receiver,Date,Provenance,Destination,Subject,Cited names,Reference,Year,Incipit
Viviani Vincenzo,Ricci Michelangelo,20/05/1646,Firenze,Roma,,['Torricelli Evangelista'],"Gal. 157, doc. 1, c. 1r-v",1646,"""Come posso non aggradire con particolare ambizione le cortesie offerte...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 295, n. 201
"
Viviani Vincenzo,Renieri Vincenzo,13/04/1647,Firenze,Pisa,,['Torricelli Evangelista'],"Gal. 157, doc. 2, c. 3r",1647,"""Reputo a mio gran favore che Vostra Signoria molto Illustre desideri impiegarmi...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 359, n. 258
"
Viviani Vincenzo,Ricci Michelangelo,24/11/1648,Firenze,Roma,,['Torricelli Evangelista'],"Gal. 157, doc. 3, c. 4r-v",1648,"""L'esser io per spazio d'un mese in circa stato assente dalla città...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 522-523, 401
"
Viviani Vincenzo,Manetti Braccio,18/10/1651,Firenze,Firenze,,"['Cecchi Andrea ', 'Arrighetti Andrea']","Gal. 157, doc. 4, c. 5r",1651,"""Haverei necessità di parlare a Vostra Signoria ma in questo punto...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 50-51, n. 455
"
Viviani Vincenzo,Viviani Alamanno,23/02/1652,Firenze,,Argomenti privati,['Di Pietro '],"Gal. 157, doc. 5, c. 7r",1652,"""Qui tutto giorno ci viene gente a cercar di Voi sapendo che siete arrivato...""Minuta
"
Viviani Vincenzo,Magnani Lorenzo,2/11/1653,Firenze,,,"['Chimentelli Valerio', 'Galilei Cosimo']","Gal. 157, doc. 6, c. 9r-v",1653,"""Per l'antica amicizia, e servitù che ho professato a Vostra Signoria Eccellentissima...""Minuta. Sul margine superiore sinistro un appunto indica il Magnani come ""Lettor di Legge a Pisa""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 102, n. 502
"
Viviani Vincenzo,Lapi Michelangelo,3/01/1655,Firenze,Roma,,"['Serni Pompeo ', ""Medici Giovanni Carlo de'"", 'Galilei Bocchineri Sestilia ']","Gal. 157, doc. 7, c. 10r",1655,"""O per il mal recapito dato qua a due plichi diretti a Vostra Signoria...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 173, n. 568
"
Viviani Vincenzo,Lapi Michelangelo,25/01/1656,Firenze,Roma,,"['Barberini Antonio', 'Galilei Bocchineri Sestilia ', 'Serni Bartolommeo ', 'Serni Pompeo ', 'Teri Pietro ', 'Thévenot Melchisédech', 'Viviani Pietro ']","Gal. 157, doc. 8, c. 11r",1656,"""Rendo infinite grazie a Vostra Signoria Eccellentissima a nome di mio fratello...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 287, n. 666
"
Viviani Vincenzo,[non identificato],14/02/1656,Firenze,Firenze,,,"Gal. 157, doc. 9, c. 12r",1656,"""Riconosco da un eccessivo affetto l'offerta che fa Vostra Signoria...""MinutaPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 298, n. 676
"
Viviani Vincenzo,Galilei Cosimo,21/03/1655,Firenze,Pisa,,"['Apollonius Pergaeus', 'Galilei Bocchineri Sestilia ', 'Borelli Giovanni Alfonso', 'Torricelli Evangelista', 'Guldin Paul', 'Manolessi Carlo ', 'Marsili Alessandro', ""Medici Leopoldo de'"", 'Rinaldini Carlo', 'Galilei Galileo']","Gal. 157, doc. 10, c. 13r-14r",1655,"""Dalle due scorse de' 13 e 14 stante aviamo preso speranza...""Minuta. A c. 14v appunto di avvenuto pagamentoPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, II, p. 320-322, n. 691
"
