Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Southwell  Robert  1635-1702,"Tipologia: letteraIncipit: ""Per salis communi salis ammoniace duplum...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 61, c. 87r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Ricette mediche,Southwell Robert a Viviani Vincenzo,15/09/1660,,,Viviani Vincenzo,1660
Lebesque  Marainville de  sec. XVII,"Tipologia: letteraIncipit: ""Ho ricevuto l'ordine dal signor di Colbert di farle pervenire la somma...""Autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22358')"">Gal. 158  </a>  doc. 54, c. 92r<br/>
</td>","Chapelain, Jean, 1595-1674,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)Colbert, Jean Baptiste, 1619-1683,(citato.)",Argomenti privati,Lebesque Marainville (de) a Viviani Vincenzo,20/11/1665,Parigi,Firenze,Viviani Vincenzo,1665
Dati  Carlo Roberto  1619-1676,"Tipologia: letteraIncipit: ""Carlo Dati manda a Vostra Signoria le lettere per Livorno...""Autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22358')"">Gal. 158  </a>  doc. 118, c. 188v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Dati Carlo Roberto a Viviani Vincenzo,28/06/1667,Firenze,,Viviani Vincenzo,1667
Chapelain  Jean  1595-1674,"Tipologia: letteraIncipit: ""Io vi scrivo di rado per non distorvi dall'opera che avete tra mano e per contribuire all'avanzamento di quella col mio silenzio...""Autografo
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22358')"">Gal. 158  </a>  doc. 140, c. 219r-v<br/>
</td>","Colbert, Jean Baptiste, 1619-1683,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Chapelain Jean a Viviani Vincenzo,25/03/1668,Parigi,Firenze,Viviani Vincenzo,1668
Chimentelli  Valerio  1620-1668,"Tipologia: letteraIncipit: ""Mi dispiace della sua flussione sopra modo e non voglio che questa volta duri...""AutografoIndirizzo a c. 238v
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22358')"">Gal. 158  </a>  doc. 156, c. 238r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Chimentelli Valerio a Viviani Vincenzo,19/09/1668,Firenze,,Viviani Vincenzo,1668
Renieri  Vincenzo  1606-1648,"Tipologia: letteraIncipit: ""Mando il presente giovine per un fiasco di vino bianco ...""AutografoPubbl. in: GALILEI, G. Opere. Appendice II, Carteggio, 2015, p. 436,  n. 4047.[1] (ed. parziale: 1r)
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 1, c. 1r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Galilei, Galileo, 1564-1642,(citato.)Fantoni de Ricci, Niccolò, m. 1669,(citato.)Centurione, Anselmo, sec. XVII,(citato.)",Argomenti privati,Renieri Vincenzo a Viviani Vincenzo,28/08/1640,Firenze,Arcetri,Viviani Vincenzo,1640
Galilei  Vincenzo  1606-1649,"Tipologia: letteraIncipit: ""Signor Vincenzio mio Signore e Padrone mi è parso bene lo transferirmi insino a Pisa e presentarmi al Ser.mo Gran Duca...""AutografoPubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 2-3, n. 3Pubbl. in: GALILEI, G. Opere. Appendice II, Carteggio, 2015, p. 466-467, n. 4193.[2]
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 2, c. 3r<br/>
</td>","Galilei, Galileo, 1564-1642,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)Ferdinando II, granduca di Toscana, 1610-1670,(citato.)Cecchino, servitore, sec. XVII,(citato.)Galilei, Livia, 1601-1659,(citato.)Bruno, sec. XVII,(citato.)",,Galilei Vincenzo a Viviani Vincenzo,11/01/1642,Firenze,Arcetri,Viviani Vincenzo,1642
Guerrini  Dionigi  sec. XVII,"Tipologia: letteraIncipit: ""Si scandolezza il Signor Vincenzio et ha ragione. ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 156-157, n. 114
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 4, c. 7r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",,Guerrini Dionigi a Viviani Vincenzo,13/09/1644,Prato,Firenze,Viviani Vincenzo,1644
Lapi  Michelangelo  sec. XVII,"Tipologia: letteraIncipit: ""Non poteva giungermi la lettera di Vostra Signoria ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 242-243, n. 167
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 5, c. 9r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Aldobrandini, Baccio, 1613-1665	,(citato.)Arrighetti, Andrea, 1592-1672,(citato.)Viviani, Alamanno, m. post 1671,(citato.)Viviani, Maria Augusta, sec. XVII,(citato.)",,Lapi Michelangelo a Viviani Vincenzo,3/06/1645,Roma,Firenze,Viviani Vincenzo,1645
Ricci  Michelangelo  1619-1682,"Tipologia: letteraIncipit: ""Il Signor Nicolò Tevenotti m'invia da Parigi l'acclusa lettera perch'io la mandi ...""Pubbl. in: Le opere dei discepoli di Galileo Galilei. Carteggio, I, p. 293-294, n. 199
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22962')"">Gal. 161  </a>  doc. 6, c. 11r<br/>
</td>","Torricelli, Evangelista, 1608-1647,(citato.)Thévenot, Melchisédech, 1620-1680,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",,Ricci Michelangelo a Viviani Vincenzo,12/05/1646,Roma,Firenze,Viviani Vincenzo,1646
